epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,31394.6,0.32197,0.36741,0.93442,0.91601,0.921,0.95715,0.92485,0.22089,0.47055,0.80946,0.001585,0.001585,0.001585
87,32939.8,0.31738,0.36067,0.93385,0.9151,0.92154,0.95696,0.92492,0.22058,0.46858,0.80943,0.001486,0.001486,0.001486
88,34488.8,0.3163,0.35609,0.92989,0.91304,0.92078,0.95696,0.92496,0.22046,0.46749,0.80944,0.001387,0.001387,0.001387
89,36038,0.31395,0.35324,0.93047,0.91261,0.9211,0.95686,0.92481,0.22011,0.4659,0.80934,0.001288,0.001288,0.001288
90,37573.4,0.31363,0.34606,0.92899,0.91275,0.92212,0.9569,0.92503,0.21984,0.46469,0.80929,0.001189,0.001189,0.001189
91,39206.1,0.22329,0.29311,0.91471,0.91342,0.923,0.95675,0.92531,0.21939,0.46141,0.80888,0.00109,0.00109,0.00109
92,40755.8,0.21789,0.28249,0.9057,0.91694,0.91904,0.95648,0.92507,0.21894,0.45856,0.80857,0.000991,0.000991,0.000991
93,42291.2,0.20887,0.26619,0.89778,0.91382,0.92232,0.95625,0.92513,0.21805,0.45517,0.80777,0.000892,0.000892,0.000892
94,43824.5,0.21092,0.25941,0.89813,0.9158,0.92101,0.95615,0.92526,0.21738,0.45268,0.80714,0.000793,0.000793,0.000793
95,45354.3,0.20793,0.25497,0.89659,0.91439,0.921,0.95591,0.92551,0.2168,0.45031,0.80658,0.000694,0.000694,0.000694
96,46882.1,0.20361,0.24905,0.89423,0.9294,0.90633,0.95568,0.92528,0.21552,0.44918,0.80499,0.000595,0.000595,0.000595
97,48413.6,0.19925,0.24579,0.88986,0.9322,0.90506,0.95553,0.9248,0.21443,0.44761,0.80397,0.000496,0.000496,0.000496
98,50239.9,0.19829,0.23687,0.89037,0.93594,0.90259,0.95526,0.92471,0.21361,0.44696,0.80321,0.000397,0.000397,0.000397
99,51765.3,0.19413,0.22925,0.88783,0.9282,0.91,0.95537,0.92493,0.21316,0.44684,0.80273,0.000298,0.000298,0.000298
100,53264.9,0.19381,0.23207,0.88718,0.92967,0.90893,0.9553,0.92466,0.21254,0.44633,0.80204,0.000199,0.000199,0.000199
